timestamp_ms,j1,j2,j3,j4,j5,j6
0,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
10,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
20,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
30,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
40,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
50,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
60,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
70,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
80,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
90,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
100,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
110,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
121,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
131,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
141,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
151,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
161,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
171,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
181,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
191,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
201,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
211,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
221,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
231,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
241,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
252,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
262,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
272,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
282,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
292,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
302,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
312,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
322,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
332,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
342,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
352,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
362,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
373,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
383,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
393,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
403,40.6900,42.5300,0.4300,0.7900,0.7900,0.7000
